item_name,category,image_url,price_twd,calories_kcal,protein_g,fat_g,saturated_fat_g,trans_fat_g,carb_g,sodium_mg,nutrition_json,detail_url,source_page,crawled_at
玉米杯,點心,https://s7d1.scene7.com/is/image/mcdonalds/planp玉米杯_832x822:nutrition-calculator-tile,,93.09,3.0,1.2,0.3,0.0,18.0,,"{""calories_kcal"": 93.09, ""protein_g"": 3.0, ""fat_g"": 1.2, ""saturated_fat_g"": 0.3, ""trans_fat_g"": 0.0, ""carb_g"": 18.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/corn-cup.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.423006+00:00
玉米湯,點心,https://s7d1.scene7.com/is/image/mcdonalds/corn-soup-small_832x822:nutrition-calculator-tile,,93.0,1.9,2.1,1.2,0.0,17.0,,"{""calories_kcal"": 93.0, ""protein_g"": 1.9, ""fat_g"": 2.1, ""saturated_fat_g"": 1.2, ""trans_fat_g"": 0.0, ""carb_g"": 17.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/corn-soup-small.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.423019+00:00
原味可頌,McCafé®,https://s7d1.scene7.com/is/image/mcdonalds/croissant_832x822:nutrition-calculator-tile,,255.99,4.8,13.0,9.0,0.0,30.0,,"{""calories_kcal"": 255.99, ""protein_g"": 4.8, ""fat_g"": 13.0, ""saturated_fat_g"": 9.0, ""trans_fat_g"": 0.0, ""carb_g"": 30.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/croissant.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.423031+00:00
巧克力榛果可頌,McCafé®,https://s7d1.scene7.com/is/image/mcdonalds/croissant-chocolate_832x822:nutrition-calculator-tile,,264.12,4.3,14.0,7.4,0.0,31.0,,"{""calories_kcal"": 264.12, ""protein_g"": 4.3, ""fat_g"": 14.0, ""saturated_fat_g"": 7.4, ""trans_fat_g"": 0.0, ""carb_g"": 31.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/croissant-chocolate.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.423043+00:00
雙層牛肉吉事堡,超值全餐,https://s7d1.scene7.com/is/image/mcdonalds/double-cheese-burger_832x822:nutrition-calculator-tile,,475.0,26.0,26.0,14.0,0.9,35.0,,"{""calories_kcal"": 475.0, ""protein_g"": 26.0, ""fat_g"": 26.0, ""saturated_fat_g"": 14.0, ""trans_fat_g"": 0.9, ""carb_g"": 35.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/double-cheese-burger.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.423055+00:00
雙層四盎司牛肉堡,超值全餐,https://s7d1.scene7.com/is/image/mcdonalds/832x822_雙層四盎司牛肉堡-1:nutrition-calculator-tile,,779.94,52.0,46.0,24.0,1.1,40.0,,"{""calories_kcal"": 779.94, ""protein_g"": 52.0, ""fat_g"": 46.0, ""saturated_fat_g"": 24.0, ""trans_fat_g"": 1.1, ""carb_g"": 40.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/double-classic-angus-beef-burger.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.423066+00:00
雙層麥香鷄,超值全餐,https://s7d1.scene7.com/is/image/mcdonalds/雙層麥香鷄:nutrition-calculator-tile,,528.62,22.0,25.0,5.7,0.0,54.0,,"{""calories_kcal"": 528.62, ""protein_g"": 22.0, ""fat_g"": 25.0, ""saturated_fat_g"": 5.7, ""trans_fat_g"": 0.0, ""carb_g"": 54.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/double-mcchicken.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.423078+00:00
雙倍OREO冰炫風,點心,https://s7d1.scene7.com/is/image/mcdonalds/1220doubleoreo832822-0321:nutrition-calculator-tile,,381.72,6.1,13.0,6.7,0.0,60.0,,"{""calories_kcal"": 381.72, ""protein_g"": 6.1, ""fat_g"": 13.0, ""saturated_fat_g"": 6.7, ""trans_fat_g"": 0.0, ""carb_g"": 60.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/double-oreo-mcflurry.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.423090+00:00
吉事蛋堡,早餐,https://s7d1.scene7.com/is/image/mcdonalds/egg-burger_832x822:nutrition-calculator-tile,,281.34,12.0,12.0,3.6,0.1,30.0,,"{""calories_kcal"": 281.34, ""protein_g"": 12.0, ""fat_g"": 12.0, ""saturated_fat_g"": 3.6, ""trans_fat_g"": 0.1, ""carb_g"": 30.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/egg-burger.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.423102+00:00
火腿蛋堡,早餐,https://s7d1.scene7.com/is/image/mcdonalds/egg-burger-with-canadian-bacon_832x822:nutrition-calculator-tile,,302.43,15.0,13.0,3.8,0.1,31.0,,"{""calories_kcal"": 302.43, ""protein_g"": 15.0, ""fat_g"": 13.0, ""saturated_fat_g"": 3.8, ""trans_fat_g"": 0.1, ""carb_g"": 31.0, ""sodium_mg"": null, ""source"": ""mcdonalds_nutrition_calculator""}",https://www.mcdonalds.com/tw/zh-tw/product/egg-burger-with-canadian-bacon.html,https://www.mcdonalds.com/tw/zh-tw/full-menu.html,2026-04-04T14:56:32.423115+00:00
